"match_id","team1","team2","start_date","venue","city","toss_winner","toss_decision","winner","innings_1_total","innings_2_total","daily_temperature_2m_mean","daily_relative_humidity_2m_mean","daily_rain_sum","daily_cloud_cover_mean","daily_sunset","innings_1_over_2_score","innings_1_over_4_score","innings_1_over_6_score","innings_1_over_8_score","innings_1_over_10_score","innings_1_over_12_score","innings_1_over_14_score","innings_1_over_16_score","innings_1_over_18_score","innings_1_over_20_score","innings_2_over_2_score","innings_2_over_4_score","innings_2_over_6_score","innings_2_over_8_score","innings_2_over_10_score","innings_2_over_12_score","innings_2_over_14_score","innings_2_over_16_score","innings_2_over_18_score","innings_2_over_20_score","innings_1_over_2_wickets","innings_1_over_4_wickets","innings_1_over_6_wickets","innings_1_over_8_wickets","innings_1_over_10_wickets","innings_1_over_12_wickets","innings_1_over_14_wickets","innings_1_over_16_wickets","innings_1_over_18_wickets","innings_1_over_20_wickets","innings_2_over_2_wickets","innings_2_over_4_wickets","innings_2_over_6_wickets","innings_2_over_8_wickets","innings_2_over_10_wickets","innings_2_over_12_wickets","innings_2_over_14_wickets","innings_2_over_16_wickets","innings_2_over_18_wickets","innings_2_over_20_wickets","team_1_win"
"319112","South Africa","West Indies",2007-12-16,"St George's Park","Port Elizabeth","West Indies","field","West Indies",58,60,19.6,85,20,89,"2007-12-16T19:25",5,10,16,23,28,43,NA,NA,NA,NA,19,32,41,45,60,NA,NA,NA,NA,NA,3,5,6,7,7,8,NA,NA,NA,NA,1,2,5,5,5,NA,NA,NA,NA,NA,FALSE
"298804","South Africa","West Indies",2008-01-18,"New Wanderers Stadium","Johannesburg","South Africa","field","South Africa",131,134,16.3,91,19.6,100,"2008-01-18T19:04",10,24,31,41,48,58,79,91,108,131,15,27,38,54,59,66,77,89,112,134,0,1,2,3,3,3,5,6,7,7,1,2,3,4,4,5,6,6,6,6,TRUE
"291356","Australia","India",2008-02-01,"Melbourne Cricket Ground",NA,"India","bat","Australia",74,75,NA,NA,NA,NA,NA,14,20,30,38,43,49,60,63,74,NA,11,27,44,63,70,75,NA,NA,NA,NA,2,4,4,5,5,6,6,9,10,NA,0,0,0,1,1,1,NA,NA,NA,NA,TRUE
"300435","New Zealand","England",2008-02-05,"Eden Park","Auckland","New Zealand","field","England",184,152,21.1,63,0.2,23,"2008-02-05T20:29",16,38,59,75,86,104,119,148,166,184,17,24,43,63,70,84,101,129,141,152,1,2,2,3,4,4,5,5,7,8,0,2,2,4,6,6,7,8,9,10,FALSE
"300436","New Zealand","England",2008-02-07,"Jade Stadium","Christchurch","England","bat","England",193,143,15.4,71,0,4,"2008-02-07T20:49",13,35,67,76,84,102,120,139,169,193,12,19,42,54,71,80,95,109,122,143,0,0,1,3,4,4,4,4,4,8,0,2,3,3,3,5,7,7,8,8,FALSE
"343764","Pakistan","Bangladesh",2008-04-20,"National Stadium","Karachi","Pakistan","bat","Pakistan",203,101,27.6,73,0,16,"2008-04-20T18:56",14,33,60,75,90,113,135,153,172,203,11,30,43,58,70,88,95,101,NA,NA,2,2,2,2,3,3,3,4,5,5,0,0,1,1,2,4,6,10,NA,NA,TRUE
"296903","England","New Zealand",2008-06-13,"Old Trafford","Manchester","England","field","England",123,127,11.3,71,0,65,"2008-06-13T20:38",6,14,33,48,59,69,78,95,102,123,8,32,48,52,70,85,99,115,127,NA,1,2,2,3,3,5,5,5,7,9,0,0,1,1,1,1,1,1,1,NA,TRUE
"319142","West Indies","Australia",2008-06-20,"Kensington Oval, Bridgetown","Barbados","West Indies","field","West Indies",97,102,26.2,83,13.7,92,"2008-06-20T18:27",12,42,57,72,91,NA,NA,NA,NA,NA,34,56,65,85,102,NA,NA,NA,NA,NA,0,0,1,2,3,NA,NA,NA,NA,NA,0,1,3,3,3,NA,NA,NA,NA,NA,TRUE
"354456","Bermuda","Scotland",2008-08-03,"Civil Service Cricket Club, Stormont","Belfast","Scotland","field","Scotland",99,100,15,84,3.7,70,"2008-08-03T20:20",12,14,23,32,44,52,58,79,85,99,8,18,28,38,49,64,76,86,100,NA,0,1,1,1,3,4,4,4,7,7,1,2,2,2,2,2,2,2,2,NA,FALSE
"361531","Netherlands","Scotland",2008-08-04,"Civil Service Cricket Club, Stormont","Belfast","Netherlands","field","Netherlands",107,110,15.4,82,0.3,79,"2008-08-04T20:18",8,20,35,41,55,68,78,88,98,107,14,30,41,46,56,64,76,84,110,NA,0,0,0,0,0,1,2,3,3,8,1,1,1,1,2,3,3,5,5,NA,TRUE
